"Gained","n"
"GO:0001539",23
"GO:0003674",288
"GO:0003824",134
"GO:0004721",23
"GO:0005488",26
"GO:0005515",22
"GO:0005575",284
"GO:0005622",153
"GO:0005623",263
"GO:0005737",138
"GO:0005886",72
"GO:0006081",26
"GO:0006139",35
"GO:0006725",53
"GO:0006793",27
"GO:0006796",27
"GO:0006807",77
"GO:0006928",23
"GO:0006935",23
"GO:0006950",53
"GO:0006979",32
"GO:0007154",34
"GO:0008150",324
"GO:0008152",248
"GO:0008929",26
"GO:0009055",56
"GO:0009056",28
"GO:0009058",48
"GO:0009438",26
"GO:0009605",38
"GO:0009889",36
"GO:0009987",189
"GO:0010467",22
"GO:0010556",36
"GO:0016020",108
"GO:0016043",22
"GO:0016209",32
"GO:0016311",23
"GO:0016530",33
"GO:0016740",39
"GO:0016772",23
"GO:0016787",57
"GO:0016788",43
"GO:0016791",23
"GO:0016829",32
"GO:0016835",32
"GO:0016838",26
"GO:0019222",36
"GO:0019242",26
"GO:0019538",21
"GO:0019627",33
"GO:0031323",36
"GO:0031326",36
"GO:0033554",23
"GO:0034641",76
"GO:0040011",23
"GO:0042221",46
"GO:0042330",23
"GO:0042578",23
"GO:0042597",25
"GO:0043167",25
"GO:0043169",23
"GO:0043170",57
"GO:0043226",23
"GO:0043229",23
"GO:0043603",35
"GO:0044237",152
"GO:0044238",63
"GO:0044248",25
"GO:0044249",48
"GO:0044260",52
"GO:0044281",45
"GO:0044424",153
"GO:0044464",263
"GO:0044699",85
"GO:0044710",135
"GO:0044763",83
"GO:0046184",26
"GO:0046483",35
"GO:0046872",23
"GO:0048519",21
"GO:0048870",23
"GO:0050789",63
"GO:0050794",60
"GO:0050896",115
"GO:0051179",37
"GO:0051674",23
"GO:0051716",43
"GO:0055114",60
"GO:0060255",36
"GO:0065007",63
"GO:0071704",115
"GO:0071840",22
"GO:0071941",33
"GO:0071944",85
"GO:0071973",23
"GO:0071975",23
"GO:0071977",23
"GO:0080090",36
"GO:0090304",35
"GO:0090305",35
"GO:1901360",35
"GO:1901564",41
"GO:1901576",47
